"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"AL","Franklin",105900000,"President","Gary Johnson","Libertarian",238,12040
"AL","Franklin",105900000,"President","Jill Stein","Independent",54,12040
"AL","Franklin",105900000,"President","Write-in",NA,85,12040
"AL","Franklin",105900000,"President","Hillary Clinton","Democrat",2197,12040
"AL","Geneva",106100000,"President","Gary Johnson","Libertarian",149,11758
"AL","Geneva",106100000,"President","Hillary Clinton","Democrat",1525,11758
"AL","Geneva",106100000,"President","Jill Stein","Independent",24,11758
"AL","Geneva",106100000,"President","Write-in",NA,66,11758
"AL","Geneva",106100000,"President","Donald Trump","Republican",9994,11758
"AL","Greene",106300000,"President","Donald Trump","Republican",838,4880
"AL","Greene",106300000,"President","Hillary Clinton","Democrat",4013,4880
"AL","Greene",106300000,"President","Jill Stein","Independent",5,4880
"AL","Greene",106300000,"President","Gary Johnson","Libertarian",13,4880
"AL","Greene",106300000,"President","Write-in",NA,11,4880
"AL","Hale",106500000,"President","Donald Trump","Republican",3173,8040
"AL","Hale",106500000,"President","Hillary Clinton","Democrat",4775,8040
"AL","Hale",106500000,"President","Gary Johnson","Libertarian",54,8040
"AL","Hale",106500000,"President","Write-in",NA,26,8040
"AL","Hale",106500000,"President","Jill Stein","Independent",12,8040
"AL","Henry",106700000,"President","Donald Trump","Republican",5632,8072
"AL","Henry",106700000,"President","Gary Johnson","Libertarian",91,8072
"AL","Henry",106700000,"President","Jill Stein","Independent",17,8072
"AL","Henry",106700000,"President","Write-in",NA,40,8072
"AL","Henry",106700000,"President","Hillary Clinton","Democrat",2292,8072
"AL","Houston",106900000,"President","Donald Trump","Republican",30728,42639
"AL","Houston",106900000,"President","Gary Johnson","Libertarian",779,42639
"AL","Houston",106900000,"President","Hillary Clinton","Democrat",10664,42639
"AL","Houston",106900000,"President","Jill Stein","Independent",144,42639
"AL","Houston",106900000,"President","Write-in",NA,324,42639
"AL","Jackson",107100000,"President","Hillary Clinton","Democrat",3673,20984
"AL","Jackson",107100000,"President","Donald Trump","Republican",16672,20984
"AL","Jackson",107100000,"President","Jill Stein","Independent",90,20984
"AL","Jackson",107100000,"President","Write-in",NA,156,20984
"AL","Jackson",107100000,"President","Gary Johnson","Libertarian",393,20984
"AL","Jefferson",107300000,"President","Hillary Clinton","Democrat",156873,304191
"AL","Jefferson",107300000,"President","Jill Stein","Independent",1554,304191
"AL","Jefferson",107300000,"President","Write-in",NA,4351,304191
"AL","Jefferson",107300000,"President","Gary Johnson","Libertarian",6645,304191
"AL","Jefferson",107300000,"President","Donald Trump","Republican",134768,304191
"AL","Lamar",107500000,"President","Jill Stein","Independent",15,6966
"AL","Lamar",107500000,"President","Hillary Clinton","Democrat",1036,6966
"AL","Lamar",107500000,"President","Write-in",NA,30,6966
"AL","Lamar",107500000,"President","Gary Johnson","Libertarian",62,6966
"AL","Lamar",107500000,"President","Donald Trump","Republican",5823,6966
"AL","Lauderdale",107700000,"President","Write-in",NA,465,39525
"AL","Lauderdale",107700000,"President","Gary Johnson","Libertarian",987,39525
"AL","Lauderdale",107700000,"President","Jill Stein","Independent",222,39525
"AL","Lauderdale",107700000,"President","Donald Trump","Republican",27899,39525
"AL","Lauderdale",107700000,"President","Hillary Clinton","Democrat",9952,39525
"AL","Lawrence",107900000,"President","Gary Johnson","Libertarian",250,14829
"AL","Lawrence",107900000,"President","Hillary Clinton","Democrat",3627,14829
"AL","Lawrence",107900000,"President","Donald Trump","Republican",10833,14829
"AL","Lawrence",107900000,"President","Write-in",NA,88,14829
"AL","Lawrence",107900000,"President","Jill Stein","Independent",31,14829
"AL","Lee",108100000,"President","Hillary Clinton","Democrat",21230,59191
"AL","Lee",108100000,"President","Jill Stein","Independent",364,59191
"AL","Lee",108100000,"President","Write-in",NA,950,59191
"AL","Lee",108100000,"President","Gary Johnson","Libertarian",2030,59191
"AL","Lee",108100000,"President","Donald Trump","Republican",34617,59191
"AL","Limestone",108300000,"President","Jill Stein","Independent",202,40294
"AL","Limestone",108300000,"President","Hillary Clinton","Democrat",9468,40294
"AL","Limestone",108300000,"President","Write-in",NA,502,40294
"AL","Limestone",108300000,"President","Gary Johnson","Libertarian",1055,40294
"AL","Limestone",108300000,"President","Donald Trump","Republican",29067,40294
"AL","Lowndes",108500000,"President","Write-in",NA,7,6684
"AL","Lowndes",108500000,"President","Jill Stein","Independent",11,6684
"AL","Lowndes",108500000,"President","Gary Johnson","Libertarian",32,6684
"AL","Lowndes",108500000,"President","Hillary Clinton","Democrat",4883,6684
"AL","Lowndes",108500000,"President","Donald Trump","Republican",1751,6684
"AL","Macon",108700000,"President","Write-in",NA,25,9140
"AL","Macon",108700000,"President","Hillary Clinton","Democrat",7566,9140
"AL","Macon",108700000,"President","Gary Johnson","Libertarian",69,9140
"AL","Macon",108700000,"President","Jill Stein","Independent",49,9140
"AL","Macon",108700000,"President","Donald Trump","Republican",1431,9140
"AL","Madison",108900000,"President","Donald Trump","Republican",89520,163389
"AL","Madison",108900000,"President","Hillary Clinton","Democrat",62822,163389
"AL","Madison",108900000,"President","Write-in",NA,3172,163389
"AL","Madison",108900000,"President","Jill Stein","Independent",1254,163389
"AL","Madison",108900000,"President","Gary Johnson","Libertarian",6621,163389
"AL","Marengo",109100000,"President","Jill Stein","Independent",13,10994
"AL","Marengo",109100000,"President","Donald Trump","Republican",5233,10994
"AL","Marengo",109100000,"President","Write-in",NA,29,10994
"AL","Marengo",109100000,"President","Gary Johnson","Libertarian",104,10994
"AL","Marengo",109100000,"President","Hillary Clinton","Democrat",5615,10994
"AL","Marion",109300000,"President","Jill Stein","Independent",26,12984
"AL","Marion",109300000,"President","Write-in",NA,71,12984
"AL","Marion",109300000,"President","Gary Johnson","Libertarian",181,12984
"AL","Marion",109300000,"President","Donald Trump","Republican",11274,12984
"AL","Marion",109300000,"President","Hillary Clinton","Democrat",1432,12984
"AL","Marshall",109500000,"President","Jill Stein","Independent",158,35316
"AL","Marshall",109500000,"President","Write-in",NA,330,35316
"AL","Marshall",109500000,"President","Hillary Clinton","Democrat",4917,35316
"AL","Marshall",109500000,"President","Gary Johnson","Libertarian",678,35316
"AL","Marshall",109500000,"President","Donald Trump","Republican",29233,35316
"AL","Mobile",109700000,"President","Write-in",NA,1353,172737
"AL","Mobile",109700000,"President","Donald Trump","Republican",95116,172737
"AL","Mobile",109700000,"President","Hillary Clinton","Democrat",72186,172737
"AL","Mobile",109700000,"President","Jill Stein","Independent",791,172737
"AL","Mobile",109700000,"President","Gary Johnson","Libertarian",3291,172737
"AL","Monroe",109900000,"President","Hillary Clinton","Democrat",4332,10271
"AL","Monroe",109900000,"President","Jill Stein","Independent",17,10271
"AL","Monroe",109900000,"President","Donald Trump","Republican",5795,10271
"AL","Monroe",109900000,"President","Write-in",NA,39,10271
"AL","Monroe",109900000,"President","Gary Johnson","Libertarian",88,10271
"AL","Montgomery",110100000,"President","Jill Stein","Independent",490,95878
"AL","Montgomery",110100000,"President","Write-in",NA,983,95878
"AL","Montgomery",110100000,"President","Donald Trump","Republican",34003,95878
"AL","Montgomery",110100000,"President","Gary Johnson","Libertarian",1486,95878
"AL","Montgomery",110100000,"President","Hillary Clinton","Democrat",58916,95878
"AL","Morgan",110300000,"President","Write-in",NA,518,50644
"AL","Morgan",110300000,"President","Gary Johnson","Libertarian",1168,50644
"AL","Morgan",110300000,"President","Jill Stein","Independent",218,50644
"AL","Morgan",110300000,"President","Hillary Clinton","Democrat",11254,50644
"AL","Morgan",110300000,"President","Donald Trump","Republican",37486,50644
"AL","Perry",110500000,"President","Gary Johnson","Libertarian",23,5278
"AL","Perry",110500000,"President","Hillary Clinton","Democrat",3824,5278
"AL","Perry",110500000,"President","Jill Stein","Independent",6,5278
"AL","Perry",110500000,"President","Donald Trump","Republican",1407,5278
"AL","Perry",110500000,"President","Write-in",NA,18,5278
"AL","Pickens",110700000,"President","Gary Johnson","Libertarian",49,9542
"AL","Pickens",110700000,"President","Donald Trump","Republican",5456,9542
"AL","Pickens",110700000,"President","Write-in",NA,46,9542
"AL","Pickens",110700000,"President","Jill Stein","Independent",19,9542
"AL","Pickens",110700000,"President","Hillary Clinton","Democrat",3972,9542
"AL","Pike",110900000,"President","Jill Stein","Independent",48,13168
"AL","Pike",110900000,"President","Gary Johnson","Libertarian",257,13168
"AL","Pike",110900000,"President","Write-in",NA,114,13168
"AL","Pike",110900000,"President","Hillary Clinton","Democrat",5056,13168
"AL","Pike",110900000,"President","Donald Trump","Republican",7693,13168
"AL","Randolph",111100000,"President","Write-in",NA,48,10187
"AL","Randolph",111100000,"President","Jill Stein","Independent",19,10187
"AL","Randolph",111100000,"President","Gary Johnson","Libertarian",124,10187
"AL","Randolph",111100000,"President","Hillary Clinton","Democrat",2291,10187
"AL","Randolph",111100000,"President","Donald Trump","Republican",7705,10187
"AL","Russell",111300000,"President","Write-in",NA,118,19256
"AL","Russell",111300000,"President","Gary Johnson","Libertarian",281,19256
"AL","Russell",111300000,"President","Hillary Clinton","Democrat",9579,19256
"AL","Russell",111300000,"President","Jill Stein","Independent",68,19256
"AL","Russell",111300000,"President","Donald Trump","Republican",9210,19256
"AL","Shelby",111700000,"President","Jill Stein","Independent",480,101254
"AL","Shelby",111700000,"President","Donald Trump","Republican",73020,101254
"AL","Shelby",111700000,"President","Gary Johnson","Libertarian",2965,101254
"AL","Shelby",111700000,"President","Write-in",NA,1812,101254
"AL","Shelby",111700000,"President","Hillary Clinton","Democrat",22977,101254
"AL","St Clair",111500000,"President","Gary Johnson","Libertarian",684,38400
"AL","St Clair",111500000,"President","Donald Trump","Republican",31651,38400
"AL","St Clair",111500000,"President","Hillary Clinton","Democrat",5589,38400
"AL","St Clair",111500000,"President","Write-in",NA,346,38400
"AL","St Clair",111500000,"President","Jill Stein","Independent",130,38400
"AL","Sumter",111900000,"President","Jill Stein","Independent",14,6411
"AL","Sumter",111900000,"President","Write-in",NA,13,6411
"AL","Sumter",111900000,"President","Gary Johnson","Libertarian",57,6411
"AL","Sumter",111900000,"President","Donald Trump","Republican",1581,6411
"AL","Sumter",111900000,"President","Hillary Clinton","Democrat",4746,6411
"AL","Talladega",112100000,"President","Jill Stein","Independent",106,33407
"AL","Talladega",112100000,"President","Gary Johnson","Libertarian",411,33407
"AL","Talladega",112100000,"President","Hillary Clinton","Democrat",12121,33407
"AL","Talladega",112100000,"President","Write-in",NA,155,33407
"AL","Talladega",112100000,"President","Donald Trump","Republican",20614,33407
"AL","Tallapoosa",112300000,"President","Jill Stein","Independent",52,19486
"AL","Tallapoosa",112300000,"President","Gary Johnson","Libertarian",233,19486
"AL","Tallapoosa",112300000,"President","Hillary Clinton","Democrat",5519,19486
"AL","Tallapoosa",112300000,"President","Donald Trump","Republican",13594,19486
"AL","Tallapoosa",112300000,"President","Write-in",NA,88,19486
"AL","Tuscaloosa",112500000,"President","Donald Trump","Republican",47723,82700
"AL","Tuscaloosa",112500000,"President","Hillary Clinton","Democrat",31762,82700
"AL","Tuscaloosa",112500000,"President","Jill Stein","Independent",390,82700
"AL","Tuscaloosa",112500000,"President","Write-in",NA,952,82700
"AL","Tuscaloosa",112500000,"President","Gary Johnson","Libertarian",1873,82700
"AL","Walker",112700000,"President","Write-in",NA,159,29472
"AL","Walker",112700000,"President","Jill Stein","Independent",95,29472
"AL","Walker",112700000,"President","Donald Trump","Republican",24266,29472
"AL","Walker",112700000,"President","Gary Johnson","Libertarian",455,29472
"AL","Walker",112700000,"President","Hillary Clinton","Democrat",4497,29472
"AL","Washington",112900000,"President","Jill Stein","Independent",22,8533
"AL","Washington",112900000,"President","Gary Johnson","Libertarian",73,8533
"AL","Washington",112900000,"President","Hillary Clinton","Democrat",2374,8533
"AL","Washington",112900000,"President","Write-in",NA,22,8533
"AL","Washington",112900000,"President","Donald Trump","Republican",6042,8533
"AL","Wilcox",113100000,"President","Jill Stein","Independent",7,6123
"AL","Wilcox",113100000,"President","Gary Johnson","Libertarian",22,6123
"AL","Wilcox",113100000,"President","Hillary Clinton","Democrat",4339,6123
"AL","Wilcox",113100000,"President","Donald Trump","Republican",1742,6123
"AL","Wilcox",113100000,"President","Write-in",NA,13,6123
"AL","Winston",113300000,"President","Gary Johnson","Libertarian",131,10313
"AL","Winston",113300000,"President","Hillary Clinton","Democrat",872,10313
"AL","Winston",113300000,"President","Donald Trump","Republican",9228,10313
"AL","Winston",113300000,"President","Jill Stein","Independent",29,10313
"AL","Winston",113300000,"President","Write-in",NA,53,10313
"AR","Arkansas",500100000,"President","Darrell Castle","Constitution",40,6212
"AR","Arkansas",500100000,"President","Donald Trump","Republican",3826,6212
"AR","Arkansas",500100000,"President","Jill Stein","Green",64,6212
"AR","Arkansas",500100000,"President","Jim Hedges","Independent",133,6212
"AR","Arkansas",500100000,"President","Gary Johnson","Libertarian",126,6212
"AR","Arkansas",500100000,"President","Lynn S. Kahn","Independent",40,6212
"AR","Arkansas",500100000,"President","Evan McMullin","Independent",44,6212
"AR","Arkansas",500100000,"President","Hillary Clinton","Democrat",1939,6212
"AR","Ashley",500300000,"President","Donald Trump","Republican",5338,8083
"AR","Ashley",500300000,"President","Jim Hedges","Independent",33,8083
"AR","Ashley",500300000,"President","Hillary Clinton","Democrat",2408,8083
"AR","Ashley",500300000,"President","Jill Stein","Green",34,8083
